path	n_events	mean_inf_pct	median_inf_pct	match_avg_pct
long_content_30k_001/long30k_212_gc3250_rp0.005_mr4E-5_ss50.fa	2	4.430	4.430	95.889
long_content_30k_001/long30k_213_gc2500_rp0.005_mr8E-5_ss200.fa	1	4.349	4.349	96.265
long_content_30k_001/long30k_214_gc2500_rp0.02_mr12E-5_ss100.fa	20	7.708	8.710	91.313
long_content_30k_001/long30k_215_gc3250_rp0.01_mr12E-5_ss100.fa	3	5.880	5.526	92.851
long_content_30k_001/long30k_216_gc2500_rp0.02_mr8E-5_ss50.fa	10	5.378	6.556	94.676
long_content_30k_001/long30k_217_gc2500_rp0.02_mr12E-5_ss200.fa	21	4.267	1.742	92.230
long_content_30k_001/long30k_218_gc4000_rp0.02_mr8E-5_ss100.fa	11	7.392	7.173	93.130
long_content_30k_001/long30k_219_gc3250_rp0.02_mr4E-5_ss50.fa	25	2.857	3.170	97.230
long_content_30k_001/long30k_220_gc2500_rp0.01_mr12E-5_ss200.fa	30	8.650	9.249	92.828
long_content_30k_001/long30k_221_gc2500_rp0.005_mr8E-5_ss100.fa	1	5.541	5.541	95.602
long_content_30k_001/long30k_222_gc3250_rp0.005_mr12E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_223_gc4000_rp0.005_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_224_gc3250_rp0.02_mr8E-5_ss200.fa	30	5.667	6.190	95.182
long_content_30k_001/long30k_225_gc2500_rp0.005_mr12E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_226_gc4000_rp0.02_mr8E-5_ss200.fa	14	5.055	5.057	93.758
long_content_30k_001/long30k_227_gc2500_rp0.02_mr4E-5_ss200.fa	2	0.950	0.950	98.055
long_content_30k_001/long30k_228_gc2500_rp0.02_mr12E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_229_gc4000_rp0.01_mr8E-5_ss100.fa	24	3.511	3.511	95.645
long_content_30k_001/long30k_230_gc2500_rp0.01_mr8E-5_ss100.fa	16	8.090	8.513	93.744
long_content_30k_001/long30k_231_gc4000_rp0.02_mr12E-5_ss100.fa	29	4.819	4.554	94.145
long_content_30k_001/long30k_232_gc2500_rp0.01_mr4E-5_ss50.fa	1	1.326	1.326	97.584
long_content_30k_001/long30k_233_gc2500_rp0.01_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_234_gc3250_rp0.005_mr4E-5_ss200.fa	30	1.832	1.862	97.309
long_content_30k_001/long30k_235_gc4000_rp0.02_mr4E-5_ss100.fa	2	1.234	1.234	97.331
long_content_30k_001/long30k_236_gc3250_rp0.02_mr4E-5_ss200.fa	18	2.262	2.214	96.525
long_content_30k_001/long30k_237_gc3250_rp0.02_mr12E-5_ss100.fa	30	2.068	1.584	93.693
long_content_30k_001/long30k_238_gc2500_rp0.01_mr12E-5_ss100.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_239_gc4000_rp0.01_mr8E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_240_gc4000_rp0.01_mr4E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_241_gc2500_rp0.02_mr4E-5_ss50.fa	5	4.145	4.131	96.262
long_content_30k_001/long30k_242_gc3250_rp0.01_mr4E-5_ss100.fa	27	3.277	3.375	96.153
long_content_30k_001/long30k_243_gc4000_rp0.01_mr12E-5_ss50.fa	14	4.298	4.298	95.684
long_content_30k_001/long30k_244_gc3250_rp0.01_mr8E-5_ss100.fa	1	2.718	2.718	96.972
long_content_30k_001/long30k_245_gc2500_rp0.005_mr12E-5_ss200.fa	1	12.147	12.147	92.020
long_content_30k_001/long30k_246_gc4000_rp0.02_mr8E-5_ss50.fa	22	1.224	1.065	97.722
long_content_30k_001/long30k_247_gc3250_rp0.01_mr12E-5_ss200.fa	1	5.234	5.234	97.228
long_content_30k_001/long30k_248_gc3250_rp0.01_mr4E-5_ss200.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_249_gc2500_rp0.02_mr4E-5_ss100.fa	17	2.049	2.053	98.489
long_content_30k_001/long30k_250_gc2500_rp0.005_mr4E-5_ss100.fa	7	2.934	2.934	96.558
long_content_30k_001/long30k_251_gc2500_rp0.005_mr8E-5_ss50.fa	0	0.000	0.000	0.000
long_content_30k_001/long30k_252_gc3250_rp0.005_mr4E-5_ss100.fa	14	6.895	6.895	94.861
long_content_30k_001/long30k_253_gc2500_rp0.02_mr8E-5_ss200.fa	18	3.389	3.628	96.519
long_content_30k_001/long30k_254_gc3250_rp0.005_mr8E-5_ss50.fa	12	3.712	3.694	95.823
long_content_30k_001/long30k_255_gc3250_rp0.02_mr4E-5_ss100.fa	1	3.728	3.728	96.037
long_content_30k_001/long30k_256_gc3250_rp0.005_mr12E-5_ss50.fa	0	0.000	0.000	0.000
